area_type,availability,location,society,total_sqft,bath,balcony,price,size_n
Super built-up  Area,Ready To Move,Ganga Nagar,laavevi,845,2,1,55,2
Built-up  Area,Ready To Move,Varthur,hioratr,1160,2,2,44,2
Built-up  Area,Ready To Move,Bommanahalli,independent,3000,8,0,140,8
Super built-up  Area,Ready To Move,Doddathoguru,independent,1100,2,1,62,2
Super built-up  Area,Not ready,Gunjur,bmineis,1140,2,3,43,2
Super built-up  Area,Ready To Move,Marathahalli,independent,1220,2,1,57,2
Plot  Area,Ready To Move,Devarachikkanahalli,independent,1350,7,0,85,8
Super built-up  Area,Ready To Move,Kanakpura Road,independent,1005,2,1,36.68,2
Plot  Area,Ready To Move,Double Road,independent,500,3,2,100,3
Super built-up  Area,Not ready,Begur Road,pruthg ,1358,2,1,80.58,2
Super built-up  Area,Ready To Move,Hegde Nagar,sonosty,1569,3,1,101,3
Super built-up  Area,Not ready,Haralur Road,snnia e,1240,2,1,70,2
Super built-up  Area,Ready To Move,Hennur Road,anavi b,2089,3,2,140,3
Super built-up  Area,Ready To Move,Kothannur,independent,1206,2,1,48.23,2
Super built-up  Area,Ready To Move,Kalena Agrahara,independent,1150,2,3,40,2
Built-up  Area,Ready To Move,Cholanayakanahalli,viony h,2511,3,3,205,3
Built-up  Area,Ready To Move,Kaval Byrasandra,independent,460,1,0,22,2
Built-up  Area,Ready To Move,ISRO Layout,independent,4400,6,3,250,6
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,adentel,1660,2,2,105,3
Built-up  Area,Not ready,Hennur Road,gollela,2957,2,2,224.5,4
Super built-up  Area,Not ready,Yelahanka,niareum,1326,2,2,78,2
Super built-up  Area,Ready To Move,Garudachar Palya,independent,1325,2,2,60.8,3
Super built-up  Area,Ready To Move,EPIP Zone,sjlynro,1499,5,2,102,3
Built-up  Area,Ready To Move,Hegde Nagar,independent,3000,7,2,210,6
Super built-up  Area,Ready To Move,Kanakpura Road,independent,1665,3,2,88,3
Super built-up  Area,Not ready,Dasanapura,tavenew,708,2,2,37,2
Super built-up  Area,Ready To Move,Kasavanhalli,srire s,1060,2,2,58.06,2
Plot  Area,Ready To Move,Rajaji Nagar,independent,710,6,3,160,6
Built-up  Area,Ready To Move,Sanjay nagar,saenti ,1000,2,2,70,2
Super built-up  Area,Not ready,Electronic City,independent,1000,2,1,28.88,2
Super built-up  Area,Ready To Move, Mysore Highway,independent,1450,2,2,70,3
Plot  Area,Ready To Move,ISRO Layout,independent,1200,4,2,155,4
Super built-up  Area,Not ready,Thanisandra,bhmesy ,1296,2,3,80,2
Super built-up  Area,Ready To Move,Domlur,independent,1540,3,2,90,3
Plot  Area,Ready To Move,Kengeri,goardth,2894,4,1,245,4
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,independent,1330,2,1,48,3
Built-up  Area,Ready To Move,Devasthanagalu,independent,1200,2,1,65,2
Built-up  Area,Ready To Move,T Dasarahalli,independent,1200,3,1,90,3
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,2502,3,3,138,3
Built-up  Area,Ready To Move,Chandapura,khityry,650,1,1,17,2
Plot  Area,Ready To Move,Kothanur,bdensar,2400,2,1,150,3
Super built-up  Area,Ready To Move,Green View Layout,makeser,1007,2,2,43,2
Super built-up  Area,Ready To Move,Shantiniketan Layout,maest n,1200,2,2,50,2
Super built-up  Area,Ready To Move,Peenya,independent,966,2,2,49.9,2
Built-up  Area,Ready To Move,Nagarbhavi,independent,1630,2,1,98,3
Built-up  Area,Ready To Move,Rajaji Nagar,brway g,1640,3,2,229,3
Built-up  Area,Ready To Move,Jalahalli West,independent,782,2,2,55.68,2
Super built-up  Area,Not ready,Devanahalli,oznuean,1260,2,2,66.78,2
Super built-up  Area,Ready To Move,Lakshmiamma Garden,independent,1800,3,3,120,3
Super built-up  Area,Ready To Move,Byatarayanapura,reeroce,1413,2,2,75,3
Super built-up  Area,Ready To Move,Whitefield,sonviik,1116,2,1,51.91,2
Super built-up  Area,Ready To Move,Electronic City,dsgmax ,1530,2,1,45.9,3
Built-up  Area,Ready To Move,Ramamurthy Nagar,independent,3700,4,1,225,4
Built-up  Area,Ready To Move,Sarjapur  Road,cetattu,2497,3,2,140,3
Super built-up  Area,Ready To Move,Kengeri,vaens g,1540,2,3,64,3
Super built-up  Area,Not ready,Thanisandra,independent,1436,3,1,74.75,3
Super built-up  Area,Not ready,Malleshwaram,independent,1100,2,2,75,2
Plot  Area,Ready To Move,Hennur Road,independent,276,3,3,23,2
Super built-up  Area,Ready To Move,Thanisandra,moity s,1427,3,2,120,3
Super built-up  Area,Ready To Move,Akshaya Nagar,hiahsla,2061,3,1,200,3
Super built-up  Area,Not ready,Hebbal,snontle,3067,4,0,477,4
Built-up  Area,Ready To Move,Shampura,independent,2650,4,2,150,4
Super built-up  Area,Not ready,Devanahalli,sabixtt,1282,2,2,68.52,3
Built-up  Area,Ready To Move,Kadugodi,independent,1050,2,1,34,2
Built-up  Area,Ready To Move,LB Shastri Nagar,sragei ,1600,3,2,65,3
Super built-up  Area,Not ready,Vajarahalli,independent,945,2,1,54,2
Super built-up  Area,Ready To Move,Hormavu,syidacr,1500,2,1,78,2
Plot  Area,Ready To Move,Vishwapriya Layout,independent,950,7,0,115,7
Built-up  Area,Ready To Move,Peenya,jahts h,1870,3,3,110,3
Plot  Area,Ready To Move,Sarjapur,inensba,1600,3,1,75,3
Super built-up  Area,Ready To Move,Electronic City,itelaa ,880,1,1,16.5,2
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,independent,1200,4,0,210,4
Super built-up  Area,Ready To Move,Kudlu Gate,srier p,1535,3,2,83,3
Built-up  Area,Ready To Move,Kanakpura Road,wiowsri,950,2,1,57,2
Super built-up  Area,Not ready,Devanahalli,derdsig,1360,2,1,65,2
Super built-up  Area,Not ready,8th Phase JP Nagar,vaarech,1042,2,0,54.005,2
Super built-up  Area,Not ready,Bommasandra Industrial Area,independent,1280,3,1,50.4,3
Super built-up  Area,Not ready,Chandra Layout,tiaksaa,1260,2,2,85.05,3
Built-up  Area,Ready To Move,Hennur Road,independent,5000,8,2,250,8
Super built-up  Area,Not ready,Yelahanka,ledorsa,3050,5,1,213,5
Super built-up  Area,Ready To Move,ISRO Layout,independent,1000,2,1,60,2
Super built-up  Area,Not ready,Anandapura,viensrk,1167,2,1,43.76,2
Super built-up  Area,Ready To Move,Vishveshwarya Layout,independent,4000,7,2,225,7
Super built-up  Area,Ready To Move,Kothanur,somumys,1828,3,2,110,3
Super built-up  Area,Ready To Move,Kengeri Satellite Town,hoiewla,890,2,1,35,2
Super built-up  Area,Ready To Move,Basavanapura,dwity t,1612,3,3,46.74,3
Plot  Area,Ready To Move,Dinnur,independent,1034,5,2,185,6
Super built-up  Area,Not ready,Mysore Road,brama p,1710,4,2,91.31,3
Super built-up  Area,Ready To Move,Kannamangala,vbownre,957,2,1,58,2
Super built-up  Area,Not ready, Devarachikkanahalli,independent,1250,2,3,44,3
Super built-up  Area,Ready To Move,Sanjeevini Nagar,betatsi,2795,4,2,235,3
Super built-up  Area,Ready To Move,Hulimavu,prcan p,1125,2,2,50,2
Super built-up  Area,Not ready,Electronic City Phase II,sryalan,1020,2,1,30.6,2
Super built-up  Area,Ready To Move,Kalena Agrahara,independent,1200,2,2,50,2
Super built-up  Area,Ready To Move,Thanisandra,soitya ,1735,3,3,135,3
Super built-up  Area,Ready To Move,Thanisandra,g conth,2050,3,1,145,3
Built-up  Area,Ready To Move,Yarandahalli,independent,1350,2,3,48,3
Super built-up  Area,Not ready,Hosa Road,sstusan,1063,2,1,32,2
Super built-up  Area,Ready To Move,Keshava Nagar,etens g,1904,3,1,150,3
Built-up  Area,Ready To Move,Whitefield,independent,4200,4,2,420,4
Super built-up  Area,Ready To Move,RMV Extension,hohnari,2000,3,1,175,3
Super built-up  Area,Not ready,Sarjapur,kinuerg,1145,2,0,43.49,2
Super built-up  Area,Ready To Move,Tejaswini Nagar,naods w,1425,2,2,75,3
Super built-up  Area,Ready To Move,Electronic City,gmown e,1500,2,1,64.5,3
Built-up  Area,Ready To Move,Electronic City,gmown e,1060,2,1,60,2
Built-up  Area,Ready To Move,Jai Bheema Nagar,sancyra,1470,2,2,70,3
Super built-up  Area,Ready To Move,Kothnur Narayanapura,independent,1300,6,0,99,6
Super built-up  Area,Ready To Move,Attibele,jae 1hu,450,1,1,11,1
Super built-up  Area,Not ready,Electronic City,prarkun,1152,2,1,64.5,2
Super built-up  Area,Ready To Move,Electronic City,gmown e,1350,2,1,56,3
Super built-up  Area,Ready To Move,CV Raman Nagar,srshq t,1550,3,3,65,3
Plot  Area,Ready To Move,CHIKKATIRUPATHI,independent,1500,3,2,100,3
Plot  Area,Ready To Move,Kumaraswami Layout,independent,600,3,2,85,5
Plot  Area,Ready To Move,Nagavara,independent,400,1,0,14,1
Super built-up  Area,Ready To Move,Malleshwaram,utntspa,705,1,2,67,1
Built-up  Area,Ready To Move,Electronic City,gmown e,770,1,1,36,2
Super built-up  Area,Ready To Move,Hulimavu,aniona ,1242,2,3,51,2
Super built-up  Area,Ready To Move,Hebbal Kempapura,goateds,1700,3,2,155,3
Super built-up  Area,Ready To Move,Thanisandra,soitya ,2144,3,2,145,3
Super built-up  Area,Not ready,Vijayanagar,saahaat,1704,3,2,110,3
Super built-up  Area,Ready To Move,Electronic City,gmown e,1070,2,1,52,2
Plot  Area,Ready To Move,8th block Koramangala,independent,1846,3,2,300,3
Super built-up  Area,Ready To Move,Jakkuru Layout,independent,1340,2,2,55.7,2
Built-up  Area,Ready To Move,Electronic City,gmown e,1025,2,1,46,2
Super built-up  Area,Ready To Move,KR Puram,mcvarar,1015,2,0,56.8,2
Super built-up  Area,Ready To Move,Marathahalli,vrave e,1200,2,2,52,2
Built-up  Area,Not ready,Kanakpura Road,independent,2250,4,1,110,4
Super built-up  Area,Ready To Move,Pattandur Agrahara,maidopl,1550,2,3,80,3
Plot  Area,Ready To Move,Bellandur,independent,1200,5,2,325,4
Plot  Area,Ready To Move,Ejipura,independent,1800,7,1,250,7
Super built-up  Area,Ready To Move,Marathahalli,aiitya ,1200,2,2,60,2
Super built-up  Area,Ready To Move,Yelahanka,puziave,1327,2,2,98,2
Super built-up  Area,Ready To Move,Kothanur,independent,1186,2,2,58,2
Built-up  Area,Ready To Move,MS Pallya,independent,1783,3,1,115,3
Super built-up  Area,Ready To Move,HSR Layout,nrosete,1400,3,2,56,3
Super built-up  Area,Ready To Move,Nagasandra,independent,980,2,1,48,2
Super built-up  Area,Ready To Move,EPIP Zone,independent,1285,2,2,82,2
Super built-up  Area,Ready To Move,Langford Town,independent,912,2,1,70,3
Built-up  Area,Ready To Move,Whitefield,sancya ,1225,2,2,47.6,2
Super built-up  Area,Ready To Move,Whitefield,independent,1075,2,1,53,2
Built-up  Area,Ready To Move,Kadugodi,msingco,1260,2,2,54,3
Super built-up  Area,Ready To Move,Yelahanka,pyikad ,1282,2,2,48.7,3
Super built-up  Area,Ready To Move,Kogilu,cairscr,1909,3,2,88,3
Super built-up  Area,Ready To Move,Panathur,prcesvy,1359,2,1,87,2
Built-up  Area,Ready To Move,Nagondanahalli,independent,1207,2,2,43.5,2
Plot  Area,Ready To Move,Padmanabhanagar,independent,1736,6,0,190,4
Super built-up  Area,Not ready,1st Block Jayanagar,independent,2850,4,1,428,4
Super built-up  Area,Ready To Move,Kammasandra,emstael,1595,3,2,65,3
Built-up  Area,Not ready,"Off Sarjapur Road, ",independent,1798,3,2,89,3
Super built-up  Area,Ready To Move,Electronics City Phase 1,sndri n,1475,3,2,78.29,3
Super built-up  Area,Ready To Move,Tala Cauvery Layout,hodhisa,1580,3,3,100,3
Super built-up  Area,Ready To Move,Dasarahalli,syonyph,1295,2,1,65,2
Built-up  Area,Ready To Move,Magadi Road,independent,3600,6,0,141,6
Super built-up  Area,Ready To Move,Electronic City,itvir m,589,1,1,27,1
Super built-up  Area,Ready To Move,Ngef Layout,independent,1415,3,3,78,3
Super built-up  Area,Not ready,Sarjapur  Road,klark l,1787,3,2,98.29,3
Super built-up  Area,Ready To Move,Sarjapur  Road,klark l,1787,3,2,125,3
Super built-up  Area,Ready To Move,Koramangala,piityra,1475,2,3,90,3
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",independent,2000,4,1,75.5,4
Super built-up  Area,Not ready,Sarjapur  Road,asastde,984,2,1,44.28,2
Super built-up  Area,Not ready,Devanahalli,jurdsig,1520,2,2,74.82,3
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,maclek ,2405,4,2,260,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,brnia g,1080,2,2,72,2
Plot  Area,Ready To Move,Shantiniketan Layout,independent,1500,2,1,115,2
Super built-up  Area,Ready To Move,Hebbal,independent,1900,3,2,119,3
Super built-up  Area,Not ready,Dommasandra,independent,805,2,1,22.14,2
Super built-up  Area,Ready To Move,Budigere,pritytr,1153,2,2,56.4,2
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,alecone,1148,2,2,60,2
Super built-up  Area,Ready To Move,Mylasandra,laowsba,1110,2,2,55,2
Built-up  Area,Ready To Move,Electronic City,saave r,1100,2,2,42,2
Super built-up  Area,Ready To Move,Kalyan nagar,anave s,1290,2,2,110,2
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,independent,1500,2,1,65,3
Super built-up  Area,Not ready,Bank Of Baroda Colony,independent,1080,2,2,39,2
Super built-up  Area,Not ready,Vijayanagar,saityat,1933,3,1,129,3
Built-up  Area,Ready To Move,Ramamurthy Nagar,independent,3500,5,2,150,5
Built-up  Area,Ready To Move,Kullappa Colony,independent,1060,2,2,60,2
Super built-up  Area,Not ready,Chandapura,suncees,645,1,1,16.45,1
Plot  Area,Ready To Move,Mukkutam Nagar,independent,2600,8,2,180,8
Super built-up  Area,Not ready,Chandapura,suncees,645,1,1,16.45,1
Super built-up  Area,Ready To Move,Ashwath Nagar,sjcerpe,1644,3,3,84,3
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,supams ,1285,2,3,72.5,2
Plot  Area,Ready To Move,Electronic City,independent,1200,3,1,90,3
Super built-up  Area,Ready To Move,Electronic City,coapeso,910,2,1,40,2
Super built-up  Area,Ready To Move,Kothanur,bisic c,1577,3,1,70,3
Plot  Area,Not ready,Meenakunte,sreat r,4050,3,2,280,3
Super built-up  Area,Ready To Move,OMBR Layout,inntsa ,2420,3,2,185,3
Super built-up  Area,Ready To Move,Chandapura,khityry,800,1,1,20,2
Built-up  Area,Ready To Move,Anand Nagar,independent,1060,2,2,55,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,briummi,1270,2,2,93,2
Super built-up  Area,Not ready,Shree Ananth Nagar Layout,independent,900,2,2,22.5,2
Built-up  Area,Ready To Move,Kundalahalli Colony,independent,1280,2,1,69,2
Plot  Area,Ready To Move,Horamavu Agara,independent,1200,2,0,95,4
Built-up  Area,Ready To Move,Sarjapur  Road,independent,1025,2,2,36,2
Super built-up  Area,Not ready,Electronic City,prarkun,1108,2,1,63,2
Plot  Area,Ready To Move,MCECHS  layout,independent,1200,5,2,170,5
Super built-up  Area,Ready To Move,Coffee Board Layout,calyxy ,3045,3,2,170,3
Plot  Area,Ready To Move,Ambedkar Nagar,thessrm,2900,3,2,300,4
Super built-up  Area,Ready To Move,Vijayanagar,jjortom,1500,3,2,75.5,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1295,2,2,43.9,2
Super built-up  Area,Ready To Move,Budigere,pritytr,1162,2,1,59.9,2
Super built-up  Area,Ready To Move,Sarjapur  Road,usquaya,1035,2,2,49.2,2
Built-up  Area,Ready To Move,Attibele,natic t,1600,4,0,52.8,4
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,independent,1464,3,2,46,3
Super built-up  Area,Not ready,Hennur Road,dsapesk,1866,2,2,61.58,3
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,jahtsa ,700,1,1,26,2
Super built-up  Area,Ready To Move,Kalena Agrahara,prillot,1804,3,2,120,3
Super built-up  Area,Ready To Move,Sarjapur,independent,913,2,1,32,2
Super built-up  Area,Not ready,Talaghattapura,sodgere,1868,3,2,131,3
Built-up  Area,Ready To Move,Kengeri Satellite Town,independent,883,2,1,45,2
Plot  Area,Ready To Move,Sundara Nagar,independent,900,2,1,110,2
Super built-up  Area,Ready To Move,Kogilu,independent,1664,2,3,73.95,3
Super built-up  Area,Ready To Move,Hegde Nagar,soitaca,2026,3,2,132,3
Super built-up  Area,Ready To Move,Balagere,soestin,1210,2,1,80.9,2
Plot  Area,Ready To Move,Meenakunte,sreat r,4111,4,2,250,4
Super built-up  Area,Ready To Move,Kadugodi,alestrb,1762,3,3,91.45,3
Super built-up  Area,Ready To Move,Jigani,dlhtsen,1252,3,3,55,3
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,mauner ,861,2,1,34.5,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,brnia g,1420,2,1,100,3
Plot  Area,Ready To Move,Srirampura,independent,1450,6,0,250,6
Built-up  Area,Ready To Move,Electronics City Phase 1,gaicave,1490,3,1,78.8,3
Super built-up  Area,Ready To Move,Bisuvanahalli,independent,1075,2,1,46,3
Super built-up  Area,Not ready,Old Madras Road,saesttt,1425,2,2,94,3
Built-up  Area,Ready To Move,Kalena Agrahara,nae 2el,1200,2,1,40,2
Super built-up  Area,Ready To Move,Kaggadasapura,independent,1280,2,2,56,3
Super built-up  Area,Ready To Move,Silver Springs Layout,bhinglv,1084,2,2,50,2
Super built-up  Area,Not ready,Chandapura,suncees,1015,2,2,25.88,2
Super built-up  Area,Not ready,Kanakpura Road,golusli,1017,2,1,51.25,2
Super built-up  Area,Ready To Move,Haralur Road,independent,1027,2,2,44,2
Super built-up  Area,Ready To Move,Electronic City Phase II,coush w,1069,2,2,45,2
Super built-up  Area,Ready To Move,Hebbal,prersis,1349,2,1,98.2,2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,naensga,1005,2,1,50,2
Super built-up  Area,Ready To Move,Jakkur,arzzo p,1417,2,3,75,2
Plot  Area,Not ready,TC Palaya,independent,1475,3,1,98,3
Carpet  Area,Ready To Move,Maruthi Sevanagar,smikaay,950,2,2,47,2
Super built-up  Area,Ready To Move,RMV 2nd Stage,prave e,2000,4,0,120,4
Plot  Area,Ready To Move,Giri Nagar,independent,880,3,1,140,3
Super built-up  Area,Ready To Move,Sarjapur  Road,ahriaup,1863,3,2,104,4
Super built-up  Area,Ready To Move,Singasandra,priewhi,1010,2,1,29.5,2
Super built-up  Area,Ready To Move,Kalena Agrahara,shodsth,1425,2,1,70,3
Super built-up  Area,Ready To Move,Vijayanagar,swadeh ,1450,3,0,100,3
Super built-up  Area,Ready To Move,Kothanur,somumys,1847,3,2,105,3
Super built-up  Area,Ready To Move,AECS Layout,soran u,1100,2,3,45,2
Super built-up  Area,Not ready,Kanakpura Road,prarepa,525,1,1,26,1
Super built-up  Area,Ready To Move,Mallasandra,puestig,1665,3,2,95,3
Super built-up  Area,Ready To Move,Begur,prntsrt,1664,4,3,65,4
Super built-up  Area,Ready To Move,JP Nagar,maerar ,1850,3,3,150,3
Super built-up  Area,Ready To Move,Panathur,vaesh t,1438,2,3,100,2
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,maisepa,1560,3,3,115,3
Super built-up  Area,Not ready,Yelahanka,independent,1350,2,1,55.55,2
Super built-up  Area,Ready To Move,Kanakpura Road,jrrnauv,1550,3,3,67,3
Super built-up  Area,Not ready,Malleshpalya,independent,1140,2,2,46.5,2
Plot  Area,Ready To Move,Srirampura,independent,1200,5,2,180,5
Super built-up  Area,Not ready,Kodathi,independent,850,2,2,27,2
Super built-up  Area,Ready To Move,Whitefield,gotis a,1280,2,2,75,2
Built-up  Area,Ready To Move,Munnekollal,independent,1170,2,2,52,2
Super built-up  Area,Ready To Move,Motappa Layout,puodse ,1113,2,1,51,2
Super built-up  Area,Ready To Move,Hennur Road,mileeou,1385,2,1,83.09,2
Super built-up  Area,Not ready,Electronic City,prarkun,1128,2,1,65,2
Plot  Area,Ready To Move,Marathahalli,independent,1200,2,2,128,2
Plot  Area,Ready To Move,Akshaya Vana,independent,1200,4,3,165,4
Super built-up  Area,Ready To Move,Rajaji Nagar,pheston,2390,3,2,415,3
Plot  Area,Ready To Move,Giri Nagar,independent,2400,4,1,400,4
Super built-up  Area,Ready To Move,Haralur Road,nrowse ,1464,3,2,56,3
Super built-up  Area,Ready To Move,Manayata Tech Park,independent,1200,2,2,55,2
Super built-up  Area,Ready To Move,Kaval Byrasandra,abncy r,1200,2,2,52,2
Super built-up  Area,Ready To Move,Kaggalipura,baowsig,1150,2,1,55,3
Built-up  Area,Ready To Move,Basavanna Nagar,itala a,1645,3,2,95,3
Super built-up  Area,Not ready,Sarjapur  Road,independent,1000,2,1,67,2
Plot  Area,Ready To Move,Haralur Road,independent,2650,4,2,198,4
Super built-up  Area,Ready To Move,6th Phase JP Nagar,hminebo,1192,2,2,74,2
Super built-up  Area,Ready To Move,Ulsoor,k borja,2135,3,2,215,3
Super built-up  Area,Not ready,Whitefield,oreldhi,1173,2,1,58,2
Built-up  Area,Ready To Move,Uttarahalli,sungspr,1020,2,2,45,2
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,3122,6,2,230,4
Super built-up  Area,Ready To Move,Somasundara Palya,independent,1600,3,3,64,3
Plot  Area,Not ready,T.C PALYA,independent,1200,2,0,79,2
Carpet  Area,Ready To Move,Muneshwara Nagar,independent,1230,2,3,48,2
Super built-up  Area,Ready To Move, Devarachikkanahalli,clntsrt,1250,2,2,40,2
Super built-up  Area,Ready To Move,Kalena Agrahara,puamapa,1325,2,2,76,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,brngsal,1850,3,1,150,3
Super built-up  Area,Not ready,Kanakpura Road,prarepa,525,2,2,21.53,1
Super built-up  Area,Ready To Move,Basaveshwara Nagar,independent,1200,2,2,65,2
Plot  Area,Ready To Move,Bull Temple Road,independent,1350,2,0,140,3
Super built-up  Area,Not ready,Bommasandra,ssestth,1260,3,1,49.36,3
Super built-up  Area,Ready To Move,Prashanth Nagar,vancy r,1800,3,0,150,3
Plot  Area,Not ready,Suragajakkanahalli,prhyak ,11,3,2,74,3
Built-up  Area,Ready To Move,Ardendale,miwel m,1100,2,1,43.25,2
Super built-up  Area,Ready To Move,Harlur,srendpo,1508,2,1,77,2
Carpet  Area,Ready To Move,Sampigehalli,puens g,1592,3,2,75,3
Super built-up  Area,Ready To Move,Akshaya Nagar,sagassa,1388,2,3,57,2
Super built-up  Area,Not ready,Electronic City Phase II,snbay g,630,1,1,28.35,1
Plot  Area,Ready To Move,RMV,independent,2000,3,2,365,3
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,independent,1762,3,1,125,3
Super built-up  Area,Not ready,Bagalur Main Road,independent,950,2,2,50,2
Super built-up  Area,Ready To Move,Kodihalli,soianal,3252,5,3,335,4
Super built-up  Area,Not ready,Magadi Road,vrenty ,1116,2,1,50,2
Super built-up  Area,Ready To Move,Narayanapura,arioshe,1308,2,2,89.04,2
